"","prolific_id","phoneme","language","language_chosen","L1","mode"
"275","5a6d5ae19d65ec00017e9bae","schwa_a","French","eng","English","perception"
"276","5a6d5ae19d65ec00017e9bae","i","French","span","English","perception"
"277","5a6d5ae19d65ec00017e9bae","o","French","eng","English","perception"
"278","5a6d5ae19d65ec00017e9bae","u","French","eng","English","perception"
"279","5a6d5ae19d65ec00017e9bae","i","French","span","English","perception"
"280","5a6d5ae19d65ec00017e9bae","schwa_a","French","eng","English","perception"
"281","5bcc60b95c2b810001dc68e2","i","French","eng","English","perception"
"282","5bcc60b95c2b810001dc68e2","u","French","eng","English","perception"
"283","5bcc60b95c2b810001dc68e2","o","French","eng","English","perception"
"284","5bcc60b95c2b810001dc68e2","o","French","eng","English","perception"
"285","5bcc60b95c2b810001dc68e2","schwa_a","French","eng","English","perception"
"286","5bcc60b95c2b810001dc68e2","u","French","eng","English","perception"
"287","5bcc60b95c2b810001dc68e2","schwa_a","French","eng","English","perception"
"288","5bcc60b95c2b810001dc68e2","i","French","eng","English","perception"
"289","5bcc60b95c2b810001dc68e2","o","French","eng","English","perception"
"290","5bcc60b95c2b810001dc68e2","i","French","eng","English","perception"
"291","5bcc60b95c2b810001dc68e2","schwa_a","French","eng","English","perception"
"292","5bcc60b95c2b810001dc68e2","schwa_a","French","eng","English","perception"
"293","5bcc60b95c2b810001dc68e2","o","French","eng","English","perception"
"294","5bcc60b95c2b810001dc68e2","u","French","eng","English","perception"
"295","5bcc60b95c2b810001dc68e2","u","French","eng","English","perception"
"296","5bcc60b95c2b810001dc68e2","i","French","eng","English","perception"
"297","5bcc60b95c2b810001dc68e2","o","French","eng","English","perception"
"298","5bcc60b95c2b810001dc68e2","u","French","eng","English","perception"
"299","5bcc60b95c2b810001dc68e2","o","French","eng","English","perception"
"300","5bcc60b95c2b810001dc68e2","schwa_a","French","eng","English","perception"
"301","5bcc60b95c2b810001dc68e2","u","French","eng","English","perception"
"302","5bcc60b95c2b810001dc68e2","i","French","eng","English","perception"
"303","5bcc60b95c2b810001dc68e2","schwa_a","French","eng","English","perception"
"304","5bcc60b95c2b810001dc68e2","i","French","eng","English","perception"
"305","5bcc60b95c2b810001dc68e2","u","French","eng","English","perception"
"306","5bcc60b95c2b810001dc68e2","i","French","eng","English","perception"
"307","5bcc60b95c2b810001dc68e2","u","French","eng","English","perception"
"308","5bcc60b95c2b810001dc68e2","o","French","eng","English","perception"
"309","5bcc60b95c2b810001dc68e2","schwa_a","French","eng","English","perception"
"310","5bcc60b95c2b810001dc68e2","i","French","eng","English","perception"
"311","5bcc60b95c2b810001dc68e2","schwa_a","French","eng","English","perception"
"312","5bcc60b95c2b810001dc68e2","o","French","eng","English","perception"
"313","5bcc60b95c2b810001dc68e2","u","French","eng","English","perception"
"314","5bcc60b95c2b810001dc68e2","u","French","eng","English","perception"
"315","5bcc60b95c2b810001dc68e2","i","French","eng","English","perception"
"316","5bcc60b95c2b810001dc68e2","o","French","eng","English","perception"
"317","5bcc60b95c2b810001dc68e2","schwa_a","French","span","English","perception"
"318","5bcc60b95c2b810001dc68e2","o","French","eng","English","perception"
"319","5bcc60b95c2b810001dc68e2","i","French","eng","English","perception"
"320","5bcc60b95c2b810001dc68e2","schwa_a","French","eng","English","perception"
"321","5bebd4111296920001d55c5a","o","French","eng","English","perception"
"322","5bebd4111296920001d55c5a","o","French","span","English","perception"
"323","5bebd4111296920001d55c5a","i","French","span","English","perception"
"324","5bebd4111296920001d55c5a","i","French","span","English","perception"
"325","5bebd4111296920001d55c5a","u","French","span","English","perception"
"326","5bebd4111296920001d55c5a","schwa_a","French","eng","English","perception"
"327","5bebd4111296920001d55c5a","u","French","span","English","perception"
"328","5bebd4111296920001d55c5a","schwa_a","French","eng","English","perception"
"329","5bebd4111296920001d55c5a","i","French","span","English","perception"
"330","5bebd4111296920001d55c5a","u","French","eng","English","perception"
"331","5bebd4111296920001d55c5a","schwa_a","French","eng","English","perception"
"332","5bebd4111296920001d55c5a","i","French","span","English","perception"
"333","5bebd4111296920001d55c5a","o","French","eng","English","perception"
"334","5bebd4111296920001d55c5a","schwa_a","French","eng","English","perception"
"335","5bebd4111296920001d55c5a","o","French","eng","English","perception"
"336","5bebd4111296920001d55c5a","u","French","eng","English","perception"
"337","5bebd4111296920001d55c5a","o","French","eng","English","perception"
"338","5bebd4111296920001d55c5a","u","French","span","English","perception"
"339","5bebd4111296920001d55c5a","u","French","span","English","perception"
"340","5bebd4111296920001d55c5a","schwa_a","French","eng","English","perception"
"341","5bebd4111296920001d55c5a","i","French","span","English","perception"
"342","5bebd4111296920001d55c5a","schwa_a","French","eng","English","perception"
"343","5bebd4111296920001d55c5a","i","French","span","English","perception"
"344","5bebd4111296920001d55c5a","o","French","eng","English","perception"
"345","5bebd4111296920001d55c5a","schwa_a","French","span","English","perception"
"346","5bebd4111296920001d55c5a","o","French","eng","English","perception"
"347","5bebd4111296920001d55c5a","u","French","span","English","perception"
"348","5bebd4111296920001d55c5a","u","French","eng","English","perception"
"349","5bebd4111296920001d55c5a","i","French","span","English","perception"
"350","5bebd4111296920001d55c5a","schwa_a","French","eng","English","perception"
"351","5bebd4111296920001d55c5a","i","French","span","English","perception"
"352","5bebd4111296920001d55c5a","o","French","eng","English","perception"
"353","5bebd4111296920001d55c5a","u","French","span","English","perception"
"354","5bebd4111296920001d55c5a","o","French","eng","English","perception"
"355","5bebd4111296920001d55c5a","i","French","span","English","perception"
"356","5bebd4111296920001d55c5a","o","French","eng","English","perception"
"357","5bebd4111296920001d55c5a","schwa_a","French","eng","English","perception"
"358","5bebd4111296920001d55c5a","i","French","span","English","perception"
"359","5bebd4111296920001d55c5a","schwa_a","French","eng","English","perception"
"360","5bebd4111296920001d55c5a","u","French","eng","English","perception"
"361","5bef41fa54277d000114d6ad","o","French","eng","English","perception"
"362","5bef41fa54277d000114d6ad","u","French","eng","English","perception"
"363","5bef41fa54277d000114d6ad","u","French","eng","English","perception"
"364","5bef41fa54277d000114d6ad","o","French","eng","English","perception"
"365","5bef41fa54277d000114d6ad","schwa_a","French","eng","English","perception"
"366","5bef41fa54277d000114d6ad","schwa_a","French","eng","English","perception"
"367","5bef41fa54277d000114d6ad","i","French","eng","English","perception"
"368","5bef41fa54277d000114d6ad","i","French","eng","English","perception"
"369","5bef41fa54277d000114d6ad","o","French","eng","English","perception"
"370","5bef41fa54277d000114d6ad","i","French","eng","English","perception"
"371","5bef41fa54277d000114d6ad","schwa_a","French","eng","English","perception"
"372","5bef41fa54277d000114d6ad","i","French","eng","English","perception"
"373","5bef41fa54277d000114d6ad","o","French","eng","English","perception"
"374","5bef41fa54277d000114d6ad","schwa_a","French","eng","English","perception"
"375","5bef41fa54277d000114d6ad","u","French","eng","English","perception"
"376","5bef41fa54277d000114d6ad","u","French","eng","English","perception"
"377","5bef41fa54277d000114d6ad","i","French","eng","English","perception"
"378","5bef41fa54277d000114d6ad","u","French","eng","English","perception"
"379","5bef41fa54277d000114d6ad","u","French","eng","English","perception"
"380","5bef41fa54277d000114d6ad","o","French","eng","English","perception"
"381","5bef41fa54277d000114d6ad","i","French","eng","English","perception"
"382","5bef41fa54277d000114d6ad","schwa_a","French","eng","English","perception"
"383","5bef41fa54277d000114d6ad","o","French","eng","English","perception"
"384","5bef41fa54277d000114d6ad","schwa_a","French","eng","English","perception"
"385","5bef41fa54277d000114d6ad","i","French","eng","English","perception"
"386","5bef41fa54277d000114d6ad","i","French","eng","English","perception"
"387","5bef41fa54277d000114d6ad","schwa_a","French","eng","English","perception"
"388","5bef41fa54277d000114d6ad","u","French","eng","English","perception"
"389","5bef41fa54277d000114d6ad","o","French","eng","English","perception"
"390","5bef41fa54277d000114d6ad","o","French","eng","English","perception"
"391","5bef41fa54277d000114d6ad","schwa_a","French","eng","English","perception"
"392","5bef41fa54277d000114d6ad","u","French","eng","English","perception"
"393","5bef41fa54277d000114d6ad","i","French","eng","English","perception"
"394","5bef41fa54277d000114d6ad","o","French","eng","English","perception"
"395","5bef41fa54277d000114d6ad","u","French","eng","English","perception"
"396","5bef41fa54277d000114d6ad","u","French","eng","English","perception"
"397","5bef41fa54277d000114d6ad","o","French","eng","English","perception"
"398","5bef41fa54277d000114d6ad","i","French","eng","English","perception"
"399","5bef41fa54277d000114d6ad","schwa_a","French","eng","English","perception"
"400","5bef41fa54277d000114d6ad","schwa_a","French","eng","English","perception"
"401","5c2fae74d76cde0001c11590","u","French","span","English","perception"
"402","5c2fae74d76cde0001c11590","u","French","span","English","perception"
"403","5c2fae74d76cde0001c11590","o","French","eng","English","perception"
"404","5c2fae74d76cde0001c11590","i","French","eng","English","perception"
"405","5c2fae74d76cde0001c11590","schwa_a","French","eng","English","perception"
"406","5c2fae74d76cde0001c11590","schwa_a","French","eng","English","perception"
"407","5c2fae74d76cde0001c11590","o","French","eng","English","perception"
"408","5c2fae74d76cde0001c11590","i","French","eng","English","perception"
"409","5c2fae74d76cde0001c11590","o","French","eng","English","perception"
"410","5c2fae74d76cde0001c11590","i","French","eng","English","perception"
"411","5c2fae74d76cde0001c11590","schwa_a","French","eng","English","perception"
"412","5c2fae74d76cde0001c11590","u","French","eng","English","perception"
"413","5c2fae74d76cde0001c11590","o","French","eng","English","perception"
"414","5c2fae74d76cde0001c11590","u","French","eng","English","perception"
"415","5c2fae74d76cde0001c11590","i","French","eng","English","perception"
"416","5c2fae74d76cde0001c11590","schwa_a","French","eng","English","perception"
"417","5c2fae74d76cde0001c11590","o","French","eng","English","perception"
"418","5c2fae74d76cde0001c11590","schwa_a","French","eng","English","perception"
"419","5c2fae74d76cde0001c11590","i","French","eng","English","perception"
