"","file_name_append","text","language","word","file_copy"
"189","492817_blockNr_1_taskNr_7_trialNr_19_english_recording","puff","english","p_schwa","492817"
"190","492817_blockNr_1_taskNr_7_trialNr_20_english_recording","poof","english","p_u","492817"
"191","492817_blockNr_1_taskNr_7_trialNr_22_english_recording","puff","english","p_schwa","492817"
"192","492817_blockNr_1_taskNr_7_trialNr_24_english_recording","peef","english","p_i","492817"
"193","492818_blockNr_1_taskNr_3_trialNr_2_German_recording","pof","German","p_o","492818"
"194","492818_blockNr_1_taskNr_3_trialNr_3_German_recording","paf","German","p_schwa","492818"
"195","492818_blockNr_1_taskNr_3_trialNr_4_German_recording","pof","German","p_o","492818"
"196","492818_blockNr_1_taskNr_3_trialNr_5_German_recording","pif","German","p_i","492818"
"197","492818_blockNr_1_taskNr_3_trialNr_6_German_recording","puf","German","p_u","492818"
"198","492818_blockNr_1_taskNr_3_trialNr_13_German_recording","puf","German","p_u","492818"
"199","492818_blockNr_1_taskNr_3_trialNr_14_German_recording","pif","German","p_i","492818"
"200","492818_blockNr_1_taskNr_3_trialNr_15_German_recording","pof","German","p_o","492818"
"201","492818_blockNr_1_taskNr_3_trialNr_16_German_recording","paf","German","p_schwa","492818"
"202","492818_blockNr_1_taskNr_3_trialNr_18_German_recording","paf","German","p_schwa","492818"
"203","492818_blockNr_1_taskNr_3_trialNr_19_German_recording","pif","German","p_i","492818"
"204","492818_blockNr_1_taskNr_3_trialNr_23_German_recording","puf","German","p_u","492818"
"205","492818_blockNr_1_taskNr_4_trialNr_2_french_recording","paf","french","p_schwa","492818"
"206","492818_blockNr_1_taskNr_4_trialNr_5_french_recording","puf","french","p_u","492818"
"207","492818_blockNr_1_taskNr_4_trialNr_12_french_recording","pif","french","p_i","492818"
"208","492818_blockNr_1_taskNr_4_trialNr_13_french_recording","puf","french","p_u","492818"
"209","492818_blockNr_1_taskNr_4_trialNr_16_french_recording","pif","french","p_i","492818"
"210","492818_blockNr_1_taskNr_4_trialNr_17_french_recording","pof","french","p_o","492818"
"211","492818_blockNr_1_taskNr_4_trialNr_19_french_recording","paf","french","p_schwa","492818"
"212","492818_blockNr_1_taskNr_4_trialNr_20_french_recording","puf","french","p_u","492818"
"213","492818_blockNr_1_taskNr_4_trialNr_21_french_recording","paf","french","p_schwa","492818"
"214","492818_blockNr_1_taskNr_4_trialNr_22_french_recording","pif","french","p_i","492818"
"215","492818_blockNr_1_taskNr_4_trialNr_23_french_recording","pof","french","p_o","492818"
"216","492818_blockNr_1_taskNr_4_trialNr_24_french_recording","pof","french","p_o","492818"
"217","492818_blockNr_1_taskNr_6_trialNr_3_english_recording","poof","english","p_u","492818"
