"","f1e","f2e","language","text","file_name_append","consonant","phoneme"
"863",357.24,1712.27,"english","foof","509367_blockNr_1_taskNr_6_trialNr_9_english_recording","f","u"
"864",688.47,2528.74,"German","fif","509368_blockNr_1_taskNr_3_trialNr_10_German_recording","f","i"
"865",301.38,2377.55,"German","fif","509368_blockNr_1_taskNr_3_trialNr_11_German_recording","f","i"
"866",736.39,1353.56,"German","paf","509368_blockNr_1_taskNr_3_trialNr_12_German_recording","p","schwa"
"867",286.92,2368.15,"German","pif","509368_blockNr_1_taskNr_3_trialNr_13_German_recording","p","i"
"868",430.06,845.09,"German","fof","509368_blockNr_1_taskNr_3_trialNr_14_German_recording","f","o"
"869",551.12,1424.32,"German","pof","509368_blockNr_1_taskNr_3_trialNr_15_German_recording","p","o"
"870",411,967.82,"German","fof","509368_blockNr_1_taskNr_3_trialNr_16_German_recording","f","o"
"871",355.28,1431.5,"German","puf","509368_blockNr_1_taskNr_3_trialNr_17_German_recording","p","u"
"872",699.9,1293.2,"German","faf","509368_blockNr_1_taskNr_3_trialNr_18_German_recording","f","schwa"
"873",772.07,1445.85,"German","paf","509368_blockNr_1_taskNr_3_trialNr_19_German_recording","p","schwa"
"874",295.1,2484.1,"German","pif","509368_blockNr_1_taskNr_3_trialNr_1_German_recording","p","i"
"875",582.24,1239.62,"German","pof","509368_blockNr_1_taskNr_3_trialNr_20_German_recording","p","o"
"876",337.67,2308.68,"German","pif","509368_blockNr_1_taskNr_3_trialNr_21_German_recording","p","i"
"877",515.97,1172.56,"German","pof","509368_blockNr_1_taskNr_3_trialNr_22_German_recording","p","o"
"878",343.53,1605.23,"German","fuf","509368_blockNr_1_taskNr_3_trialNr_23_German_recording","f","u"
"879",794.28,1486.98,"German","paf","509368_blockNr_1_taskNr_3_trialNr_24_German_recording","p","schwa"
"880",291.24,2465.97,"German","fif","509368_blockNr_1_taskNr_3_trialNr_2_German_recording","f","i"
"881",743.38,1994.25,"German","puf","509368_blockNr_1_taskNr_3_trialNr_3_German_recording","p","u"
"882",670.74,2288.03,"German","fof","509368_blockNr_1_taskNr_3_trialNr_4_German_recording","f","o"
"883",753.71,1350.92,"German","faf","509368_blockNr_1_taskNr_3_trialNr_5_German_recording","f","schwa"
"884",328.25,1601.9,"German","fuf","509368_blockNr_1_taskNr_3_trialNr_6_German_recording","f","u"
"885",840.4,1752.82,"German","faf","509368_blockNr_1_taskNr_3_trialNr_7_German_recording","f","schwa"
"886",332.74,1964.9,"German","puf","509368_blockNr_1_taskNr_3_trialNr_8_German_recording","p","u"
"887",309.07,1896.96,"German","fuf","509368_blockNr_1_taskNr_3_trialNr_9_German_recording","f","u"
"888",716.12,1999.29,"french","fuf","509368_blockNr_1_taskNr_4_trialNr_10_french_recording","f","u"
"889",616.1,1398.4,"french","pof","509368_blockNr_1_taskNr_4_trialNr_11_french_recording","p","o"
"890",704.56,1669.79,"french","pof","509368_blockNr_1_taskNr_4_trialNr_12_french_recording","p","o"
"891",576.53,1772.03,"french","paf","509368_blockNr_1_taskNr_4_trialNr_13_french_recording","p","schwa"
"892",1380.74,2315.8,"french","fuf","509368_blockNr_1_taskNr_4_trialNr_14_french_recording","f","u"
"893",258.74,2502.14,"french","fif","509368_blockNr_1_taskNr_4_trialNr_15_french_recording","f","i"
"894",592.61,1592.85,"french","paf","509368_blockNr_1_taskNr_4_trialNr_16_french_recording","p","schwa"
"895",674.81,2044.43,"french","fuf","509368_blockNr_1_taskNr_4_trialNr_17_french_recording","f","u"
"896",626.4,1551.29,"french","faf","509368_blockNr_1_taskNr_4_trialNr_18_french_recording","f","schwa"
"897",302.33,2461.72,"french","fif","509368_blockNr_1_taskNr_4_trialNr_19_french_recording","f","i"
"898",604.39,1724.18,"french","paf","509368_blockNr_1_taskNr_4_trialNr_1_french_recording","p","schwa"
"899",304.39,1331.98,"french","puf","509368_blockNr_1_taskNr_4_trialNr_20_french_recording","p","u"
