"","X","participant","stim","word","language","stim_language","rating","phoneme","frame","language_num"
"199",199,"5bebd4111296920001d55c5a","stim/f_schwa_f.wav","fun","eng","french",4,"schwa","fricative",1
"200",200,"5bebd4111296920001d55c5a","stim/peuf_f.wav","fool","eng","french",4,"y","bilabial",1
"201",201,"5c2fae74d76cde0001c11590","stim/peuf_f.wav","su","span","french",2.905187254,"y","bilabial",0
"202",202,"5c2fae74d76cde0001c11590","stim/feuf_f.wav","su","span","french",2.917065656,"y","fricative",0
"203",203,"5c2fae74d76cde0001c11590","stim/pof_f.wav","fun","eng","french",3.85120844,"o","bilabial",1
"204",204,"5c2fae74d76cde0001c11590","stim/pif_f.wav","feel","eng","french",3.657471268,"i","bilabial",1
"205",205,"5c2fae74d76cde0001c11590","stim/f_schwa_f.wav","fun","eng","french",3.020835311,"schwa","fricative",1
"206",206,"5c2fae74d76cde0001c11590","stim/p_schwa_f.wav","fun","eng","french",3.441841125,"schwa","bilabial",1
"207",207,"5c2fae74d76cde0001c11590","stim/fof_f.wav","fun","eng","french",3.647902312,"o","fricative",1
"208",208,"5c2fae74d76cde0001c11590","stim/fif_f.wav","feel","eng","french",3.707138344,"i","fricative",1
"209",209,"5c2fae74d76cde0001c11590","stim/fof_f.wav","fun","eng","french",3.778540152,"o","fricative",1
"210",210,"5c2fae74d76cde0001c11590","stim/fif_f.wav","feel","eng","french",3.911590011,"i","fricative",1
"211",211,"5c2fae74d76cde0001c11590","stim/f_schwa_f.wav","fun","eng","french",3.498401783,"schwa","fricative",1
"212",212,"5c2fae74d76cde0001c11590","stim/feuf_f.wav","fool","eng","french",3.540414033,"y","fricative",1
"213",213,"5c2fae74d76cde0001c11590","stim/pof_f.wav","fun","eng","french",3.942767956,"o","bilabial",1
"214",214,"5c2fae74d76cde0001c11590","stim/peuf_f.wav","fool","eng","french",2.819505762,"y","bilabial",1
"215",215,"5c2fae74d76cde0001c11590","stim/pif_f.wav","feel","eng","french",3.641676161,"i","bilabial",1
"216",216,"5c2fae74d76cde0001c11590","stim/p_schwa_f.wav","fun","eng","french",2.822776229,"schwa","bilabial",1
"217",217,"5c2fae74d76cde0001c11590","stim/fof_f.wav","fun","eng","french",3.541384944,"o","fricative",1
"218",218,"5c2fae74d76cde0001c11590","stim/p_schwa_f.wav","fun","eng","french",3.246875622,"schwa","bilabial",1
"219",219,"5c2fae74d76cde0001c11590","stim/pif_f.wav","feel","eng","french",3.867473178,"i","bilabial",1
"220",220,"5c2fae74d76cde0001c11590","stim/fif_f.wav","feel","eng","french",4.293031481,"i","fricative",1
"221",221,"5c2fae74d76cde0001c11590","stim/f_schwa_f.wav","fun","eng","french",3.656167772,"schwa","fricative",1
"222",222,"5c2fae74d76cde0001c11590","stim/feuf_f.wav","fool","eng","french",3.886733161,"y","fricative",1
"223",223,"5c2fae74d76cde0001c11590","stim/peuf_f.wav","su","span","french",4.011968825,"y","bilabial",0
"224",224,"5c2fae74d76cde0001c11590","stim/pof_f.wav","fun","eng","french",3.97974537,"o","bilabial",1
"225",225,"5c2fae74d76cde0001c11590","stim/pof_f.wav","fun","eng","french",3.97974537,"o","bilabial",1
"226",226,"5c2fae74d76cde0001c11590","stim/pif_f.wav","feel","eng","french",4.249426383,"i","bilabial",1
"227",227,"5c2fae74d76cde0001c11590","stim/peuf_f.wav","fool","eng","french",3.684376752,"y","bilabial",1
"228",228,"5c2fae74d76cde0001c11590","stim/fof_f.wav","fun","eng","french",4.106861821,"o","fricative",1
"229",229,"5c2fae74d76cde0001c11590","stim/feuf_f.wav","su","span","french",3.287833602,"y","fricative",0
"230",230,"5c2fae74d76cde0001c11590","stim/p_schwa_f.wav","fun","eng","french",3.97993667,"schwa","bilabial",1
